Kürzel;Preis;ZusatzInfo
2XM-D;246;
2XM-D;246;
AFR-C;160;
AFR-C;160;
AFR-D;95;
BRO-P;17,5;
BRO-P;17,5;
BRO-P;17,5;
BRO-P;17,5;
BRO-S;100;
CLB-D;75;
CLB-D;75;
DMR-D;150;
DMU-C;176;
DMU-C;176;
DMU-S;115;
KHM-D;94;
KHM-S;100;
KHM-S;110;
M21-D;102;Spielraum Core 2021
MH2-D;180;
MH2-D;180;
MH1-D;206;
MH2-D;170;
MH2-D;170;
MH2-D;170;
MID-C;149;
MID-D;80;
MID-D;80;
MID-S;100;
NEO-D;98;
NEO-D;98;
NEO-D;85;
NEO-S;115;
ONE-D;90;
ONE-S;110;
SNC-C;155;
SNC-D;85;
SNC-D;85;
SNC-D;80;
SNC-D;80;
SNC-D;80;
SNC-D;80;
STX-D;85;
STX-S;85;
STX-S;85;
THB-D;116;
THB-D;116;
THB-D;116;Kartensturm MKM
VOW-C;144;
VOW-D;90;
ZNR-D;85;
ZNR-D;90;
MOM-D;100;
MOM-S;110;
ELD-D;135;Jontroff
AFR-C;135;Amazon
MOM-P;17,5;
MOM-P;17,5;
SNC-C;150;Ganes island
VOW-P;13,5;
VOW-P;13,5;
VOW-P;13,5;
VOW-P;13,5;
MID-P;13,5;
MID-P;13,5;
MID-P;13,5;
MID-P;13,5;
LTR-D;135;
MOM-P;17,5;
MOM-P;17,5;
ELD-D;120;Sloppy
ELD-D;120;
SNC-C;130;Games Island
SNC-C;130;
WAR-D;110;Sloppy
BRO-D;80;Magiccon
BRO-D;80;
DMR-D;140;
DMR-D;140;
MYS-D;130;
WOE-D;100;
LTR-D;135;
SNC-C;112,5;
SNC-C;112,5;
AFR-C;115;Games Island
TSR-D;166;DE Justus //173
RNA-D;105;EN Justus
GRN-D;96;DE Justus
LCI-D;95;
LCI-D;95;
DMU-D;95;
BRO-C;150;
MOM-C;135;
RTR-D;120;Jan Beyer
DOM-D;128;Deadhead mkm -6€ vk
DTK-D;154;
MAT-S;65;
MAT-S;65;
SOI-D;112;Raretcg
IKO-F;35;Raretcg
DOM-D;103;Raretcg
GRN-D;70;Raretcg
RIX-D;116,5;Raretcg
XLN-D;135;Justus
OGW-D;107;Justus
DMU-D;70;
DMU-D;70;
TSR-D;166;Raretcg
RVR-D;132;
MKM-P;95;
LTR-D;140;
MKM-D;85;
KTK-D;120;
RVR-D;132;
BFZ-D;122;Sergio
KLD-D;223;Sergio
DKA-D;232;Sergio
EMN-D;165;Sergio
DGM-D;102;Xmetzn
AER-D;133;Xmetzn
AKH-D;162;Andydv
M20-D;96;Andydv
HOU-D;126;Andydv
THS-D;205;Steinecke
BNG-D;122;Justus
NEO-S;116;Justus
MH3-D;216;Amazon
MH3-D;216;Amazon
CMM-S;270;Amazon
UST-D;105;DrBob17
A25-D;154;DrBob17
MKM-C;155;Jonimon
OTJ-D;124;Jonimon
DMR-D;135;GI
UNF-D;80;GI
DSK-D;114;Amazon
BLB-D;127;Justus