;Bezeichnung;Typ;US-Size;Kaufdatum;Kaufpreis;Wert
;Bad Bunny Back to School;adidas Forum Low;11;01.09.2021;160,00;366,00
;Yecheil (Non-Reflective);adidas Yeezy Boost 350 V2;11;01.04.2023;145;326
;Zebra (2017/2022/2023);adidas Yeezy Boost 350 V2;11;01.06.2023;255;308
;Beluga Reflective;adidas Yeezy Boost 350 V2;11;01.06.2022;240;294
;Beluga Reflective;adidas Yeezy Boost 350 V2;11;01.08.2022;240;294
;Dark Glow;adidas Yeezy 700 V3;11;01.06.2022;220;289
;Dark Glow;adidas Yeezy 700 V3;11;01.08.2021;220;289
;Onyx (2022/2023);adidas Yeezy Boost 350 V2;11;01.06.2023;240;281
;Onyx (2022/2023);adidas Yeezy Boost 350 V2;11;01.06.2022;230;281
;MX Oat;adidas Yeezy Boost 350 V2;11;01.10.2021;220,00;271,00
;Slate;adidas Yeezy Boost 350 V2;11;01.09.2022;230;260
;Clay Brown;adidas Yeezy 700 V3;11;01.08.2021;200;249
;Prada Core Black;adidas Luna Rossa 21;11;01.05.2023;235;247
;Bone;adidas Yeezy Boost 350 V2;10.5;01.06.2022;230;244
;Kyanite;adidas Yeezy 700 V3;11;01.10.2021;205;239
;Calcite Glow;adidas Yeezy Boost 380;11.5;01.12.2021;185;233
;Carbon Beluga;adidas Yeezy Boost 350 V2;11;01.06.2023;230;222
;Bad Bunny Last Forum;adidas Forum Buckle Low;11;01.12.2022;160;222
;Safflower;adidas Yeezy 700 V3;11;01.08.2021;200;214
;Cloud White;adidas Yeezy 450;11;01.10.2021;200;212
;Clay Brown;adidas Yeezy 500;11;01.12.2021;200;211
;Mist Stone;adidas Yeezy 500 High;11;01.11.2021;220;198
;Star Wars Darth Vader;adidas Superstar;11;01.04.2021;66;179
;Honey Flux;adidas Yeezy Boost 700 MNVN;11;01.09.2021;220;177
;Slate Panda;adidas Yeezy 350 V2 CMPCT;11;01.06.2023;230;170
;Pure (Restock Pair);adidas Yeezy Slide;11;01.06.2022;80;169
;LEGO Multi;adidas Ultra Boost DNA;11;01.10.2021;108;150
;Blue Oat;adidas Yeezy Boost 380;11;01.07.2020;120;150
;Pepper;adidas Yeezy Boost 380;11;01.10.2021;165;149
;NERF;adidas Ultra Boost 1.0;11;01.05.2021;80;140
;Clay Taupe;adidas Yeezy Foam RNR;11;31.08.2023;90;139
;MX Cinder;adidas Yeezy Foam RNR;11;01.06.2023;120;139
;The Simpsons Ned Flanders;adidas McCarten;11;01.09.2021;120;139
;South Park Towelie;adidas Campus 80s;11;01.12.2022;100;179,00
;Star Wars Chewbacca;adidas Rivalry Hi;11;01.04.2021;83;134
;The Simpsons Flaming Moes;adidas ZX 1000;10.5;01.07.2021;120;131
;Bad Bunny Chalky Brown;adidas Campus Light;11;31.07.2023;160;130
;Overkill Graffiti;adidas ZX 8500;11;01.05.2021;145;127
;Carbon;adidas Yeezy Foam RNR;10.5;31.08.2023;90;123
;The Simpsons Krusty Burger;adidas ZX 10000;11;01.06.2021;135;122
;Star Wars Lando Calrissian;adidas NMD R1 V2;11;01.04.2021;94;120
;Flax;adidas Yeezy Slide;10;01.06.2022;80;112
;LEGO;adidas Ultra Boost DNA;11;01.05.2021;160;119
;The Simpsons Duffman;adidas Forum Low;10;01.05.2021;100,00;116,00
;The Simpsons Squishee;adidas Superstar;11;01.05.2021;120;109
;Jeremy Scott Teddy Camo;adidas JS Adilette;11;01.12.2021;50;70
;Slate Marine;adidas Yeezy Slide;11;31.08.2023;70;97
;Capital Bra;adidas Forum Low;11;01.06.2022;120;97
;Mike & Sulley Monsters Inc.;adidas Stan Smith;11;01.05.2021;67;83
;Star Wars Boba Fett Ash Grey;adidas Stan Smith;11;01.05.2023;1,00;78,00
;Star Wars Yoda;adidas Ultra Boost DNA;11;01.01.2021;95;177
;Hyperspace;adidas Yeezy Boost 350 V2;11;01.08.2023;230;244
;MX Dark Salt;adidas Yeezy Boost 350 V2;11;01.08.2023;230;212
;Slate Grey;adidas Yeezy Slide;11;01.08.2023;70;100
;Static (Non-Reflective) (2018/2023);adidas Yeezy Boost 350 V2;11;01.08.2023;230;237
;Slate;adidas Yeezy Boost 350 V2;11;01.09.2022;230;260
;MX Rock;Adidas Yeezy Boost 350 V2;11;08.03.2024;230;254
;Stone Taupe;Adidas Yeezy 500;11;08.03.2024;210,00;205
;Slate Onix;Adidas Yeezy 350 compact;11;27.03.2024;184;148
;Copper Fade;Adidas Yeezy 700;11;27.03.2024;168;143
;Salt;Adidas Yeezy Slide;11;27.03.2024;70;83
;Granite;Adidas Yeezy Foam Runner;11;27.03.2024;90;104
;Onyx;Adidas Yeezy Foam Runner;11;27.03.2024;90;136
;Dark Onix;Adidas Yeezy Slide;11;27.03.2024;70;88
;Stone Taupe;Adidas Yeezy 500;11;08.03.2024;210,00;194
;;Prada Luna Rossa 21;11;01.05.2023;235;211