Name,Menge,Normal,Foil,Einzelpreis
Pride Across the Multiverse ,2,,X,55
April Superdrop 2022 Showcase Streets of New Capenna Gilded Foil ,1,,X,45.38
April Superdrop 2022 Special Guest Matt Jukes,1,X,,25.38
April Superdrop 2022 Special Guest Matt Jukes ,1,,X,35.38
April Superdrop 2022 Artist Series Magali Villeneuve,1,X,,25.38
April Superdrop 2022 Artist Series Magali Villeneuve ,1,,X,35.38
April Superdrop 2022 Artist Series Sidharth Chaturvedi,1,X,,25.38
April Superdrop 2022 Artist Series Sidharth Chaturvedi ,1,,X,35.38
April Superdrop 2022 Artist Series Wayne Reynolds,1,X,,25.38
April Superdrop 2022 Artist Series Wayne Reynolds ,1,,X,35.38
April Superdrop 2022 Finally Left Handed Magic-Cards,1,X,,25.38
April Superdrop 2022 Finally Left-Handed Magic-Cards,1,,X,35.38
April Superdrop 2022 Just Some Totally Normal Guys,2,X,,25.38
April Superdrop 2022 Just Some Totally Normal Guys ,1,,X,35.38
Winter-Superdrop-2023 Phyrexian Faves,1,X,,35
Winter-Superdrop-2023 Phyrexian Faves ,2,,X,45
October-Superdrop-2022 Secret Lair x Post Malone: Backstage Pass ,2,,X,45
October-Superdrop-2022 Secret Lair x Post Malone: Backstage Pass,2,X,,35
October-Superdrop-2022 Secret Lair x Post Malone: The Lands ,1,,X,45
October-Superdrop-2022 Secret Lair x Post Malone: The Lands,1,X,,35
December-Superdrop-2022-Transformers-Optimus-Prime-vs-Megatron,1,X,,35
December-Superdrop-2022-Transformers-Optimus-Prime-vs-Megatron,2,,X,45
Winter-Superdrop-2024 Just Add Milk second helpings,1,X,,35
Winter-Superdrop-2024 Just Add Milk second helpings,1,,X,45
December-Superdrop-2022-Artist-Series-Aleksi-Briclot,1,X,,35
December-Superdrop-2022/The-Scarab-God,1,X,,1
Relentless Rats Promo Card Barcelona 2023,1,,X,1
April Superdrop 2022 Artist Series Magali Villeneuve,1,X,,43
Fall-Superdrop-2023-Now-on-VHS,3,X,,41
Fall-Superdrop-2023-Now-on-VHS,2,,X,45
Spring-Superdrop-2023-Artist-Series-Rebecca-Guay,4,X,,53
Relentless Rats Promo Card Las Vegas 2023,1,,X,1
Dan-Fraziers-Mox-Box,1,,X,130
Spookydrop-2023-Secret-Lair-x-Creepshow ,1,X,,28
Spookydrop-2023-Secret-Lair-x-Doctor-Who-The-Dalek-Lands ,1,X,,28
Spookydrop-2023-Artist-Series-John-Avon ,1,X,,28
Spookydrop-2023-Artist-Series-John-Avon ,2,,,45
Spookydrop-2023-Artist-Series-John-Avon ,1,,,35
Secretversary-2023-Secret-Lair-x-Tomb-Raider ,1,,X,50
Equinox-Superdrop-2024-Secret-Lair-x-Fallout-Vault-Boy,2,X,,33
Equinox-Superdrop-2024-Secret-Lair-x-Fallout-Points-of-Interest,1,X,,29
Equinox-Superdrop-2024-Special-set,1,X,,29
Sheldons-Spellbook,2,X,,55
Lil-Legends,3,X,,1
Secret-Lair-Commander-Deck-20-Ways-to-Win-Deck,2,,,165
Camp-Totally-Safe-Superdrop-Showcase-Duskmourn,1,X,,31
Camp-Totally-Safe-Superdrop-Showcase-Duskmourn,2,,X,41
Camp-Totally-Safe-Superdrop-Secret-Lair-x-Hatsune-Miku-Electric-Entourage,1,X,,31
Secret-Lair-x-Dungeons-Dragons-50th-Anniversary-Superdrop-Karlachs-Rage,1,X,,35
Secret-Lair-x-Dungeons-Dragons-50th-Anniversary-Superdrop-Death-is-in-the-Eyes-of-the-Beholder-II,1,X,,35
Secret-Lair-x-Dungeons-Dragons-50th-Anniversary-Superdrop-Astarions-Thirst,1,X,,35